Date,Open,High,Low,Close,Volume,OpenInterest
23 Apr 1993,20.13,20.35,20.04,20.34,0.19,0.0
26 Apr 1993,20.33,20.38,20.25,20.3,-0.04,0.0
27 Apr 1993,20.24,20.28,20.15,20.18,-0.12,0.0
28 Apr 1993,20.18,20.22,20.13,20.19,0.01,0.0
29 Apr 1993,20.27,20.6,20.26,20.58,0.39,0.0
30 Apr 1993,20.56,20.61,20.47,20.53,-0.05,0.0
3 May 1993,20.5,20.6,20.44,20.57,0.04,0.0
4 May 1993,20.58,20.66,20.37,20.39,-0.18,0.0
5 May 1993,20.3,20.5,20.29,20.46,0.07,0.0
6 May 1993,20.53,20.63,20.46,20.47,0.01,0.0
7 May 1993,20.53,20.6,20.4,20.44,-0.03,0.0
10 May 1993,20.45,20.56,20.43,20.44,0.0,0.0
11 May 1993,20.38,20.42,20.31,20.34,-0.1,0.0
12 May 1993,20.36,20.39,20.18,20.2,-0.14,0.0
13 May 1993,20.11,20.14,19.77,19.78,-0.42,0.0
14 May 1993,20.02,20.07,19.66,19.79,0.01,0.0
17 May 1993,19.77,19.85,19.72,19.83,0.04,0.0
18 May 1993,19.87,19.89,19.65,19.67,-0.16,0.0
19 May 1993,19.66,19.78,19.59,19.61,-0.06,0.0
20 May 1993,19.46,19.92,19.46,19.84,0.23,0.0
21 May 1993,19.8,19.95,19.8,19.88,0.04,0.0
24 May 1993,19.9,19.94,19.7,19.72,-0.16,0.0
25 May 1993,19.71,19.93,19.71,19.9,0.18,0.0
26 May 1993,19.82,19.9,19.75,19.89,-0.01,0.0
27 May 1993,19.9,20.13,19.85,20.06,0.17,0.0
28 May 1993,20.09,20.16,20.0,20.02,-0.04,0.0
1 Jun 1993,19.97,20.27,19.95,20.24,0.22,0.0
2 Jun 1993,20.17,20.25,20.02,20.03,-0.21,0.0
3 Jun 1993,20.03,20.09,19.7,19.74,-0.29,0.0
4 Jun 1993,19.77,19.88,19.74,19.77,0.03,0.0
7 Jun 1993,19.7,19.72,19.37,19.54,-0.23,0.0
8 Jun 1993,19.64,19.89,19.58,19.65,0.11,0.0
9 Jun 1993,19.53,19.73,19.51,19.64,-0.01,0.0
10 Jun 1993,19.65,19.68,19.25,19.28,-0.36,0.0
11 Jun 1993,19.08,19.16,18.83,18.98,-0.3,0.0
14 Jun 1993,19.24,19.37,19.24,19.26,0.28,0.0
15 Jun 1993,19.0,19.13,18.87,18.9,-0.36,0.0
16 Jun 1993,18.98,19.2,18.98,19.17,0.27,0.0
17 Jun 1993,19.27,19.32,18.89,19.0,-0.17,0.0
18 Jun 1993,18.87,19.09,18.82,18.97,-0.03,0.0
21 Jun 1993,19.06,19.18,18.9,18.91,-0.06,0.0
22 Jun 1993,18.85,19.05,18.76,18.82,-0.09,0.0
23 Jun 1993,18.76,18.98,18.71,18.86,0.04,0.0
24 Jun 1993,19.03,19.13,18.83,18.89,0.03,0.0
25 Jun 1993,18.9,19.01,18.82,18.84,-0.05,0.0
28 Jun 1993,18.9,19.02,18.83,18.9,0.06,0.0
29 Jun 1993,18.9,19.13,18.9,19.01,0.11,0.0
30 Jun 1993,18.99,19.14,18.83,18.85,-0.16,0.0
1 Jul 1993,18.85,18.85,18.32,18.45,-0.4,0.0
2 Jul 1993,18.45,18.45,17.85,17.95,-0.5,0.0
6 Jul 1993,18.06,18.44,18.03,18.29,0.34,0.0
7 Jul 1993,18.28,18.39,17.88,18.02,-0.27,0.0
8 Jul 1993,18.09,18.12,17.55,17.79,-0.23,0.0
9 Jul 1993,17.7,17.98,17.6,17.89,0.1,0.0
12 Jul 1993,17.95,18.15,17.95,18.1,0.21,0.0
13 Jul 1993,18.34,18.54,18.3,18.38,0.28,0.0
14 Jul 1993,18.34,18.34,17.65,17.69,-0.69,0.0
15 Jul 1993,17.65,17.98,17.5,17.92,0.23,0.0
16 Jul 1993,17.87,18.04,17.4,17.49,-0.43,0.0
19 Jul 1993,17.31,18.3,17.06,18.25,0.76,0.0
20 Jul 1993,18.23,18.26,17.63,17.84,-0.41,0.0
21 Jul 1993,17.64,18.09,17.63,17.93,0.09,0.0
